fecha,hora,Temperatura,Tiempo,Precipitaciones ( mm),Humedad (%),Velocidad del viento (Km/h),Ráfaga de viento (Km/h),Ángulo del viento (°),Dirección del viento,Nubosidad (%),Visibilidad ( Km)
2020-01-01,0,8.8,Parcialmente nublado,0,89,5.8,10.1,313,NW,4,10
2020-01-01,1,8.8,Parcialmente nublado,0,89,5.5,9.5,311,NW,3,10
2020-01-01,2,8.9,Parcialmente nublado,0,88,5.3,8.9,309,NW,2,10
2020-01-01,3,8.9,Parcialmente nublado,0,88,5,8.3,307,NW,1,10
2020-01-01,4,8.8,Parcialmente nublado,0,87,4.7,7.9,304,NW,1,10
2020-01-01,5,8.6,Despejado,0,86,4.3,7.6,302,WNW,1,10
2020-01-01,6,8.5,Despejado,0,85,4,7.2,299,WNW,1,10
2020-01-01,7,9,Despejado,0,82,3.8,6.5,302,WNW,1,10
2020-01-01,8,9.4,Parcialmente nublado,0,79,3.7,5.8,306,NW,1,10
2020-01-01,9,9.9,Parcialmente nublado,0,76,3.6,5,309,NW,1,10
2020-01-01,10,11,Parcialmente nublado,0,72,4,5.2,264,W,1,10
2020-01-01,11,12,Soleado,0,67,4.3,5.3,219,SW,1,10
2020-01-01,12,13.1,Soleado,0,63,4.7,5.4,174,S,2,10
2020-01-01,13,13.3,Soleado,0,63,6,7.1,151,SSE,2,10
2020-01-01,14,13.4,Parcialmente nublado,0,63,7.3,8.8,129,SE,3,10
2020-01-01,15,13.6,Parcialmente nublado,0,63,8.6,10.4,107,ESE,4,10
2020-01-01,16,12.5,Parcialmente nublado,0,69,7.2,9,110,ESE,8,10
2020-01-01,17,11.3,Parcialmente nublado,0,74,5.8,7.6,112,ESE,11,10
2020-01-01,18,10.2,Parcialmente nublado,0,79,4.3,6.1,115,ESE,14,10
2020-01-01,19,9.5,Parcialmente nublado,0,82,4.3,7.1,161,SSE,26,10
2020-01-01,20,8.8,Parcialmente nublado,0,84,4.3,8,206,SSW,38,10
2020-01-01,21,8.1,Parcialmente nublado,0,87,4.3,9,251,WSW,50,10
2020-01-01,22,8,Parcialmente nublado,0,86,4.6,9.4,272,W,67,10
2020-01-01,23,7.9,Cielo cubierto,0,85,4.8,9.7,292,WNW,83,10
2020-01-02,0,7.8,Cielo cubierto,0,84,5,10.1,313,NW,100,10
2020-01-02,1,7.9,Cielo cubierto,0,83,4.9,9.8,310,NW,78,10
2020-01-02,2,7.9,Cielo cubierto,0,83,4.8,9.6,307,NW,57,10
2020-01-02,3,8,Cielo cubierto,0,83,4.7,9.4,304,NW,35,10
2020-01-02,4,7.8,Cielo cubierto,0,82,4.3,8.6,303,WNW,25,10
2020-01-02,5,7.6,Parcialmente nublado,0,82,4,7.9,302,WNW,15,10
2020-01-02,6,7.4,Parcialmente nublado,0,82,3.6,7.2,300,WNW,4,10
2020-01-02,7,8.1,Parcialmente nublado,0,79,3.6,6.5,301,WNW,3,10
2020-01-02,8,8.7,Parcialmente nublado,0,77,3.6,5.8,301,WNW,2,10
2020-01-02,9,9.4,Parcialmente nublado,0,74,3.6,5,301,WNW,2,10
2020-01-02,10,10.5,Parcialmente nublado,0,70,4.1,5.3,264,W,2,10
2020-01-02,11,11.7,Soleado,0,66,4.6,5.5,227,SW,2,10
2020-01-02,12,12.8,Soleado,0,62,5,5.8,189,S,2,10
2020-01-02,13,13.1,Soleado,0,62,6.4,7.6,164,SSE,6,10
2020-01-02,14,13.3,Parcialmente nublado,0,62,7.7,9.4,139,SE,9,10
2020-01-02,15,13.6,Parcialmente nublado,0,63,9,11.2,115,ESE,13,10
