OBJECTID,Id_Jardin,Nombre,Barrio,Tipologia,Area,Zona,Distrito_Municipal,geo_point_2d
1864,99111029,HERMANOS MARISTAS AV,NA ROVELLA,Bulevar,35246.685346895,SUR,QUATRE CARRERES,"39.452782601192474, -0.36593980303125206"
1885,99111064,PIANISTA MARTINEZ C - ING.JOAQUIN BENLLOCH-JUAN RAMON JIMENEZ (PAI MALILLA NORTE M9),MALILLA,Acompañamiento Viario,4024.895914855,SUR,QUATRE CARRERES,"39.447142270624376, -0.3713292334528575"
1887,99110930,PROFESOR ANTONIO UBIETO C,SANT MARCEL.LI,Acompañamiento Viario,193.866277085,SUR,JESUS,"39.44362586869274, -0.38808487905815636"
1899,99110740,DE LAS TRECE ROSAS PL,LLUM,Jardines,1475.922916485,SUR,OLIVERETA,"39.46859138483848, -0.41071297091399017"
1915,99120730,PARQUE DEL OESTE,TRES FORQUES,Parques Urbanos,39860.998048135,SUR,OLIVERETA,"39.46673701051431, -0.3961114752369517"
1918,99110801,ALCUDIA DE CARLET-CONVENTO DE JESUS C,PATRAIX,Jardines,521.50103246,SUR,PATRAIX,"39.462214951218705, -0.3917049414997792"
1923,99110741,BRASIL-NAVARRO CABANES (pai),NOU MOLES,Jardines,5188.401334375,SUR,OLIVERETA,"39.472108094946755, -0.4006189544533219"
1926,99101725,Ronda Benifaraig - Cementerio,BENIFARAIG,Acompañamiento Viario,1245.03676209,NORTE,POBLATS DEL NORD,"39.53030743355882, -0.38433050113512685"
1927,99101605,Castellonet C - Juan XXIII Av,BENICALAP,Jardines,1033.729715175,NORTE,BENICALAP,"39.49264234013895, -0.3838385941438728"
1931,99101332,Beatriz Tortosa C,L'AMISTAT,Jardines,555.07196497,NORTE,ALGIROS,"39.47111701430885, -0.34950382890371423"
2081,99101709,Vicente Gil Ros Pl,CARPESA,Jardines,555.606345225,NORTE,POBLATS DEL NORD,"39.5169575359581, -0.3796702825482676"
1935,99101112,Campillo de Altobuey C y Adyacentes (Grupo Viviendas Beteró),BETERO,Jardines,14998.139076215,NORTE,POBLATS MARITIMS,"39.47461899521202, -0.3350884894896391"
1950,99101643,Burjasot Av Núm 142 (Antigua Ceramo),BENICALAP,Acompañamiento Viario,134.65827417,NORTE,BENICALAP,"39.49027657850448, -0.39103508505823614"
1954,99101407,Max Aub C,BENIMACLET,Jardines,1033.45132495,NORTE,BENIMACLET,"39.484794884562135, -0.3543625775118625"
1961,99101538,Círculo de Bellas Artes C - Dolores Marqués Av.,SANT LLORENS,Jardines,712.69062183,NORTE,RASCANYA,"39.49092299852908, -0.36106854282843753"
1167,99121820,PARQUES DE BENIFERRI,BENIFERRI,Parques Urbanos,10996.569640305,NORTE,POBLATS DE L`OEST,"39.494705560534534, -0.4059483024267199"
1168,99121121,PASEO MARITIMO,CABANYAL-CANYAMELAR,Parques Urbanos,54030.179190285,NORTE,POBLATS MARITIMS,"39.47105602006193, -0.3242360052306892"
1170,99111110,"CARLOS PAU ESPAÑOL, BOTANIC C (ZAL I)",NATZARET,Jardines,10325.40361784,SUR,POBLATS MARITIMS,"39.44233226373907, -0.3352862594156829"
1180,99110920,MANUEL COLOMER MARCO AV - CIUDAD DEL APRENDIZ C,CAMI REAL,Jardines,1109.31081509,SUR,JESUS,"39.43890099149485, -0.39038829297193817"
1183,99110103,JESUS MAROTO Y GONZALEZ PL,CARME,Jardines,910.34468621,SUR,CIUTAT VELLA,"39.4790761819404, -0.3801242210878304"
1191,99110718,DOCTOR BERENGUER FERRER PL,FONTSANTA,Jardines,2231.613768305,SUR,OLIVERETA,"39.4664700182732, -0.4082037673494349"
1192,99110214,FRANCISCO SEMPERES-SORNELL,RUSSAFA,Jardines,31.46655282,SUR,L´EIXAMPLA,"39.460748417601316, -0.37106333557856097"
1193,99110806,ARQUITECTO SEGURA DE LAGO C,SANT ISIDRE,Jardines,7534.516520065,SUR,PATRAIX,"39.452616240442325, -0.40174366308528264"
1196,99111913,MAJOR DE PINEDO PL,PINEDO,Jardines,2818.49311479,SUR,POBLES DEL SUD,"39.42237699287908, -0.33945811818537397"
1201,99110728,NUEVE DE OCTUBRE C - DEL CID AV,NOU MOLES,Acompañamiento Viario,1519.44232342,SUR,OLIVERETA,"39.47044871773024, -0.40540800202288096"
1203,99110218,DOCTOR DOMAGK C (PLATABANDAS),RUSSAFA,Acompañamiento Viario,187.13250276,SUR,L´EIXAMPLA,"39.45705465119813, -0.3767894916951772"
1209,99121610,A4,BENICALAP,Parques Urbanos,5982.652060015,NORTE,BENICALAP,"39.4941176091751, -0.3993943100669499"
1216,99111076,ROTONDA CARRETERA DEL RIU / CLUB NAUTICO,LA PUNTA,Acompañamiento Viario,3154.196146295,SUR,QUATRE CARRERES,"39.42950132950351, -0.33864117275838046"
1227,99110826,MANUEL SIMO C - MARIA JORDAN C,PATRAIX,Jardines,615.57513793,SUR,PATRAIX,"39.46068011747421, -0.39254445795694537"
1232,99110736,SAINETERO ARNICHES PL,SOTERNES,Jardines,342.315630735,SUR,OLIVERETA,"39.47235081186449, -0.40691753517541285"
1243,99110823,V-30 (JARDIN BIODIVERSIDAD VARA DE QUART.ROS CASARE),VARA DE QUART,Jardines,9030.65513929,SUR,PATRAIX,"39.459679331796806, -0.4127790272194728"
1247,99110131,PORTA DE LA MAR PL,XEREA,Jardines,1539.395661775,SUR,CIUTAT VELLA,"39.47208186822099, -0.3684518956923169"
1250,99111044,PAI QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,Acompañamiento Viario,6340.0489213,SUR,QUATRE CARRERES,"39.4486478063104, -0.36565952258294443"
1254,99110719,GRUPO ANTONIO RUEDA,TRES FORQUES,Jardines,7810.16650992,SUR,OLIVERETA,"39.46488549913502, -0.3986546362773946"
1256,99110306,MARIA BENEYTO (ESCRIPTORA) PL,BOTANIC,Jardines,1201.212663015,SUR,EXTRAMURS,"39.476388148660575, -0.3846753647871"
1257,99122010,JARDIN DEL TURIA (TRAMO 10),CAUCE DEL TURIA,Parques Urbanos,42290.69851032,TURIA,CAUCE DEL TURIA,"39.4701040087624, -0.3635576026522515"
1265,99110902,ALQUERIA DELS BALCONS PL,SANT MARCEL.LI,Jardines,566.45494093,SUR,JESUS,"39.44363250750231, -0.39300288161293484"
1269,99111912,IGLESIA DE LA TORRE PL,TORREFIEL,Jardines,1098.911544105,SUR,RASCANYA,"39.43554633413609, -0.39095539027678106"
1280,99111053,RAFAEL CORT C,MONT-OLIVET,Jardines,1124.755386625,SUR,QUATRE CARRERES,"39.45780492554001, -0.36612360038541936"
1284,99110708,OLIVERETA C - MAESTRO ASENSI C (ISLETAS),NOU MOLES,Acompañamiento Viario,96.78936223,SUR,OLIVERETA,"39.471401266243824, -0.3962733363828865"
1306,99111901,ADOR (II),CASTELLAR-L'OLIVERAL,Jardines,816.00100024,SUR,POBLES DEL SUD,"39.43188597502618, -0.36117107033671747"
1307,99111012,BULEVAR SUR (V) - ANTONIO FERRANDIS AV - GENERAL URR,CIUTAT DE LES ARTS I DE LES CIENCIES,Bulevar,4476.016831375,SUR,QUATRE CARRERES,"39.449292703763525, -0.3621635747418098"
1308,99110321,GIORGETA - MAESTRO SOSA,RAIOSA,Acompañamiento Viario,1462.141917775,SUR,JESUS,"39.46090823189428, -0.38496306896497606"
1310,99121810,JARDIN DE PANACH,BENIMAMET,Parques Urbanos,6020.770211975,NORTE,POBLATS DE L`OEST,"39.501625694040456, -0.4236767256722431"
1311,99110117,GARROFA C - POUET DE SANT VICENT C,XEREA,Jardines,44.84062441,SUR,CIUTAT VELLA,"39.47357426605672, -0.3704954177412161"
1319,99121150,PARQUE DE NATZARET,NATZARET,Parques Urbanos,64525.605669835,NORTE,POBLATS MARITIMS,"39.447877360707224, -0.3295497188702233"
