FECHA,HORA,Pres.,R.Sol.,Precip.,Veloc.,Direc.,Temp.,H.Rel.,Veloc.máx.
2025-01-01,0,1028.0,0.0,"5,7","0,7",358.0,"10,9",97.0,"2,2"
2025-01-01,1,1027.0,0.0,0,"1,3",285.0,"10,6",98.0,"3,5"
2025-01-01,2,1027.0,0.0,0,"0,9",287.0,"10,3",98.0,"2,8"
2025-01-01,3,1027.0,0.0,0,"0,6",277.0,"9,9",99.0,"1,5"
2025-01-01,4,1027.0,0.0,0,"0,9",264.0,"9,7",99.0,"1,8"
2025-01-01,5,1026.0,0.0,0,"0,7",282.0,"9,8",99.0,"2,1"
2025-01-01,6,1026.0,0.0,0,"0,9",265.0,"9,5",99.0,"1,7"
2025-01-01,7,1027.0,0.0,"0,9","0,7",243.0,"9,4",98.0,"1,3"
2025-01-01,8,1027.0,0.0,"2,5","0,9",264.0,"9,4",99.0,"1,6"
2025-01-01,9,1027.0,33.0,"0,3","0,5",289.0,"10,5",99.0,"1,4"
2025-01-01,10,1027.0,77.0,0,1,288.0,"11,2",98.0,3
2025-01-01,11,1028.0,90.0,"0,3","1,1",281.0,"11,6",98.0,"3,3"
2025-01-01,12,1027.0,120.0,0,"0,6",291.0,"12,8",97.0,"2,2"
2025-01-01,13,1026.0,114.0,0,1,329.0,"13,8",94.0,"3,6"
2025-01-01,14,1026.0,142.0,0,"1,6",9.0,"14,3",87.0,"4,4"
2025-01-01,15,1025.0,184.0,0,"2,1",7.0,"15,3",80.0,"5,2"
2025-01-01,16,1025.0,63.0,0,"1,5",346.0,"14,7",81.0,"4,4"
2025-01-01,17,1025.0,3.0,0,"0,8",328.0,"14,2",81.0,"2,2"
2025-01-01,18,1025.0,0.0,"2,1","1,5",5.0,"13,1",84.0,"3,9"
2025-01-01,19,1026.0,0.0,"0,9","0,8",276.0,"12,3",91.0,2
2025-01-01,20,1026.0,0.0,"0,3","0,3",267.0,"12,4",92.0,1
2025-01-01,21,1026.0,0.0,0,"0,3",290.0,"12,3",94.0,"0,6"
2025-01-01,22,1026.0,0.0,0,"0,6",264.0,"11,9",94.0,"1,4"
2025-01-01,23,1026.0,0.0,0,"0,6",251.0,"11,7",94.0,"1,1"
2025-01-02,0,1025.0,0.0,0,"0,4",256.0,"11,6",94.0,"0,8"
2025-01-02,1,1025.0,0.0,0,"0,4",237.0,"11,1",94.0,"0,9"
2025-01-02,2,1024.0,0.0,0,"0,9",236.0,"10,4",95.0,"1,6"
2025-01-02,3,1024.0,0.0,0,"1,4",256.0,"9,9",96.0,"2,5"
2025-01-02,4,1024.0,0.0,0,"1,7",246.0,"9,3",94.0,3
2025-01-02,5,1024.0,0.0,0,"1,9",243.0,"8,9",93.0,"3,4"
2025-01-02,6,1024.0,0.0,0,"1,5",245.0,"8,5",91.0,"2,8"
2025-01-02,7,1024.0,0.0,0,"1,3",223.0,8,90.0,"2,8"
2025-01-02,8,1024.0,0.0,0,"1,3",224.0,"7,8",91.0,"2,5"
2025-01-02,9,1024.0,61.0,0,"1,4",222.0,"9,2",89.0,"2,9"
2025-01-02,10,1025.0,187.0,0,"2,2",232.0,"11,2",81.0,"4,5"
2025-01-02,11,1025.0,324.0,0,2,228.0,"13,3",74.0,"4,4"
2025-01-02,12,1024.0,407.0,0,"2,4",215.0,"15,4",63.0,"5,5"
2025-01-02,13,1023.0,425.0,0,"2,5",201.0,"16,8",55.0,"5,9"
2025-01-02,14,1022.0,402.0,0,"4,2",211.0,"17,1",54.0,"9,7"
2025-01-02,15,1021.0,303.0,0,"3,3",206.0,"17,7",52.0,"7,4"
2025-01-02,16,1021.0,167.0,0,"3,5",202.0,"17,6",52.0,"7,9"
2025-01-02,17,1021.0,32.0,0,3,204.0,"16,2",56.0,"7,3"
2025-01-02,18,1021.0,0.0,0,"1,3",196.0,"14,4",63.0,3
2025-01-02,19,1021.0,0.0,0,"0,9",186.0,"13,1",68.0,"1,8"
2025-01-02,20,1022.0,0.0,0,"0,8",201.0,"12,4",71.0,"1,6"
2025-01-02,21,1022.0,0.0,0,"0,2",215.0,"11,9",71.0,"0,3"
2025-01-02,22,1022.0,0.0,0,"0,7",222.0,"11,6",69.0,"1,2"
2025-01-02,23,1022.0,0.0,0,"0,5",198.0,"11,1",70.0,"1,1"
2025-01-03,0,1022.0,0.0,0,"0,9",199.0,"10,3",72.0,"1,7"
2025-01-03,1,1021.0,0.0,0,"0,8",216.0,"9,8",71.0,"1,8"
2025-01-03,2,1021.0,0.0,0,"0,6",187.0,9,73.0,"1,2"
2025-01-03,3,1021.0,0.0,0,"1,1",201.0,"9,6",68.0,"2,3"
2025-01-03,4,1020.0,0.0,0,"0,8",210.0,"9,5",67.0,"1,7"
2025-01-03,5,1020.0,0.0,0,1,207.0,"9,5",66.0,"1,8"
2025-01-03,6,1019.0,0.0,0,"1,3",207.0,"9,3",69.0,"3,2"
2025-01-03,7,1019.0,0.0,0,"1,2",222.0,9,71.0,3
2025-01-03,8,1019.0,2.0,0,"2,8",206.0,"9,6",69.0,"5,5"
2025-01-03,9,1020.0,104.0,0,"1,1",241.0,"11,9",63.0,"2,7"
2025-01-03,10,1020.0,255.0,0,"2,1",234.0,14,56.0,"4,1"
2025-01-03,11,1020.0,293.0,0,"2,4",223.0,"15,6",50.0,"6,1"
2025-01-03,12,1019.0,354.0,0,"4,4",223.0,"15,4",52.0,"9,2"
2025-01-03,13,1018.0,334.0,0,"3,2",212.0,"16,1",52.0,"7,3"
2025-01-03,14,1016.0,285.0,0,"3,8",216.0,"18,1",46.0,"8,9"
2025-01-03,15,1016.0,146.0,0,"4,1",233.0,"18,6",43.0,"8,3"
2025-01-03,16,1016.0,73.0,0,"2,1",222.0,"18,8",42.0,5
2025-01-03,17,1016.0,11.0,0,"1,3",209.0,"17,7",45.0,"2,9"
2025-01-03,18,1017.0,0.0,0,"1,2",208.0,"16,9",45.0,"2,7"
2025-01-03,19,1017.0,0.0,0,"1,5",220.0,"16,2",45.0,"3,3"
2025-01-03,20,1018.0,0.0,0,"1,9",241.0,16,46.0,"4,8"
2025-01-03,21,1018.0,0.0,0,"2,1",241.0,"15,4",52.0,"4,7"
2025-01-03,22,1018.0,0.0,0,"2,6",238.0,"14,5",60.0,"5,5"
2025-01-03,23,1018.0,0.0,0,"2,6",246.0,"14,4",56.0,"5,5"
2025-01-04,0,1018.0,0.0,0,"1,5",242.0,"14,3",56.0,"2,9"
2025-01-04,1,1018.0,0.0,0,"1,7",249.0,"14,5",55.0,"3,5"
2025-01-04,2,1018.0,0.0,0,"1,4",226.0,"13,9",57.0,"3,1"
2025-01-04,3,1018.0,0.0,0,1,211.0,"13,6",59.0,"2,5"
2025-01-04,4,1017.0,0.0,0,"1,8",230.0,"13,1",63.0,"3,7"
2025-01-04,5,1017.0,0.0,0,"2,6",232.0,"12,7",64.0,"5,3"
2025-01-04,6,1017.0,0.0,0,"1,9",229.0,"12,3",65.0,4
2025-01-04,7,1017.0,0.0,0,"2,4",228.0,"11,8",66.0,"5,2"
2025-01-04,8,1018.0,2.0,0,"1,8",215.0,"11,4",68.0,"3,8"
2025-01-04,9,1018.0,61.0,0,"2,5",220.0,12,65.0,"5,6"
2025-01-04,10,1018.0,145.0,0,"2,4",222.0,"13,4",61.0,"5,7"
2025-01-04,11,1018.0,315.0,0,"3,1",231.0,"15,3",56.0,"7,6"
2025-01-04,12,1018.0,407.0,0,"4,5",232.0,"16,7",51.0,"8,9"
2025-01-04,13,1017.0,424.0,0,"3,7",221.0,"17,6",50.0,"8,6"
2025-01-04,14,1016.0,392.0,0,4,222.0,"18,8",46.0,"8,5"
2025-01-04,15,1015.0,320.0,0,"4,6",230.0,"20,2",39.0,"9,8"
2025-01-04,16,1015.0,147.0,0,"2,7",196.0,"19,7",41.0,"6,4"
2025-01-04,17,1015.0,31.0,0,"3,1",197.0,"17,9",44.0,"6,3"
2025-01-04,18,1015.0,0.0,0,"1,7",200.0,"16,1",49.0,"3,8"
2025-01-04,19,1016.0,0.0,0,"0,8",187.0,"14,8",54.0,"2,1"
2025-01-04,20,1016.0,0.0,0,"1,3",192.0,"14,5",56.0,"3,1"
2025-01-04,21,1016.0,0.0,0,"1,6",193.0,"13,8",59.0,"3,2"
2025-01-04,22,1015.0,0.0,0,"0,3",194.0,"13,3",61.0,"0,7"
2025-01-04,23,1015.0,0.0,0,"0,4",186.0,"12,7",63.0,"1,2"
2025-01-05,0,1015.0,0.0,0,"0,9",185.0,"12,4",66.0,2
2025-01-05,1,1014.0,0.0,0,"1,5",214.0,"12,3",65.0,"3,5"
2025-01-05,2,1014.0,0.0,0,"2,1",216.0,"12,1",64.0,"4,9"
2025-01-05,3,1013.0,0.0,0,"2,8",218.0,"11,8",65.0,"6,3"
2025-01-05,4,1013.0,0.0,0,"3,1",217.0,"11,5",65.0,"6,1"
2025-01-05,5,1012.0,0.0,0,"3,4",202.0,"11,3",65.0,"7,3"
2025-01-05,6,1012.0,0.0,0,"3,9",196.0,"11,1",66.0,"8,3"
2025-01-05,7,1012.0,0.0,0,"4,1",195.0,11,67.0,8
2025-01-05,8,1012.0,2.0,0,"4,5",195.0,11,68.0,"9,1"
2025-01-05,9,1012.0,99.0,0,"3,1",210.0,"12,2",63.0,"7,1"
2025-01-05,10,1012.0,214.0,0,4,209.0,"13,5",57.0,"8,5"
2025-01-05,11,1012.0,290.0,0,"2,9",205.0,15,56.0,"6,9"
2025-01-05,12,1011.0,267.0,0,"4,6",204.0,"15,8",57.0,"9,2"
2025-01-05,13,1010.0,268.0,0,"3,3",193.0,"16,4",57.0,8
2025-01-05,14,1009.0,311.0,0,"3,6",193.0,"17,6",54.0,"7,7"
2025-01-05,15,1008.0,163.0,0,"4,2",215.0,"18,3",50.0,"8,6"
2025-01-05,16,1007.0,58.0,0,"1,7",192.0,"17,7",55.0,"4,5"
2025-01-05,17,1007.0,21.0,0,"0,6",165.0,"16,9",64.0,"1,3"
