FECHA,HORA,Pres.,R.Sol.,Precip.,PM2.5,CO,NO,NO2,PM10,NOx,O3,Veloc.,Direc.,Temp.,H.Rel.,Veloc.máx.,SO2
2025-01-01,0,1034.0,1.0,"4,8",16.0,"0,4",2.0,13.0,22.0,16.0,39.0,"1,4",346.0,"10,4",93.0,"2,2",4.0
2025-01-01,1,1033.0,1.0,0,12.0,"0,3",2.0,12.0,13.0,15.0,42.0,"1,7",302.0,10,94.0,"2,7",4.0
2025-01-01,2,1033.0,1.0,"0,2",13.0,"0,3",2.0,11.0,14.0,14.0,39.0,"1,6",302.0,"9,8",93.0,"2,6",2.0
2025-01-01,3,1033.0,1.0,0,11.0,"0,3",2.0,13.0,12.0,16.0,37.0,1,275.0,"9,6",93.0,"1,5",4.0
2025-01-01,4,1033.0,1.0,0,13.0,"0,4",2.0,22.0,14.0,25.0,22.0,"1,3",256.0,"9,6",93.0,"1,8",3.0
2025-01-01,5,1032.0,1.0,0,11.0,"0,4",2.0,12.0,12.0,15.0,32.0,"1,3",292.0,"9,6",92.0,2,3.0
2025-01-01,6,1032.0,1.0,0,8.0,"0,3",3.0,17.0,9.0,21.0,29.0,"1,2",262.0,"9,5",90.0,2,5.0
2025-01-01,7,1033.0,1.0,1,7.0,"0,3",5.0,25.0,9.0,33.0,18.0,"0,9",232.0,"9,5",90.0,"1,5",5.0
2025-01-01,8,1033.0,9.0,2,9.0,"0,3",8.0,26.0,11.0,38.0,14.0,"1,1",256.0,"9,4",93.0,"1,6",4.0
2025-01-01,9,1033.0,70.0,"0,8",6.0,"0,3",3.0,13.0,7.0,17.0,37.0,1,287.0,"9,9",95.0,"1,6",5.0
2025-01-01,10,1033.0,106.0,0,5.0,"0,3",3.0,7.0,6.0,12.0,39.0,"1,7",299.0,"10,1",95.0,"2,9",4.0
2025-01-01,11,1033.0,114.0,"0,4",5.0,"0,2",3.0,6.0,6.0,11.0,43.0,"1,5",289.0,"10,7",92.0,"2,5",5.0
2025-01-01,12,1033.0,158.0,0,6.0,"0,2",3.0,8.0,8.0,13.0,46.0,"1,4",314.0,"11,9",88.0,"2,4",4.0
2025-01-01,13,1032.0,178.0,"0,2",8.0,"0,2",3.0,6.0,17.0,10.0,53.0,"2,2",359.0,13,83.0,"3,5",4.0
2025-01-01,14,1031.0,175.0,0,8.0,"0,2",2.0,3.0,19.0,6.0,60.0,"2,7",10.0,"13,3",81.0,"4,2",3.0
2025-01-01,15,1031.0,188.0,0,8.0,"0,2",2.0,2.0,18.0,5.0,61.0,"2,8",11.0,"13,8",80.0,"4,3",4.0
2025-01-01,16,1031.0,90.0,0,8.0,"0,2",2.0,2.0,21.0,5.0,64.0,"2,4",5.0,"13,7",80.0,"3,6",4.0
2025-01-01,17,1031.0,10.0,0,8.0,"0,2",2.0,5.0,26.0,8.0,60.0,"2,1",357.0,"13,5",78.0,"3,6",3.0
2025-01-01,18,1031.0,1.0,"2,8",6.0,"0,2",2.0,5.0,14.0,8.0,60.0,"1,8",342.0,"12,2",84.0,"2,8",4.0
2025-01-01,19,1032.0,1.0,"0,2",5.0,"0,3",2.0,24.0,6.0,28.0,38.0,"1,2",267.0,"11,7",90.0,"1,7",4.0
2025-01-01,20,1032.0,1.0,"0,2",8.0,"0,4",4.0,31.0,9.0,37.0,26.0,"0,4",335.0,"11,8",91.0,"0,8",4.0
2025-01-01,21,1032.0,1.0,"0,2",11.0,"0,5",19.0,53.0,15.0,81.0,10.0,"0,8",255.0,"11,7",92.0,"1,2",4.0
2025-01-01,22,1032.0,1.0,0,12.0,"0,5",12.0,52.0,14.0,70.0,5.0,"0,9",257.0,"11,6",92.0,"1,4",3.0
2025-01-01,23,1031.0,1.0,0,13.0,"0,4",15.0,49.0,15.0,71.0,5.0,"0,9",231.0,"11,5",90.0,"1,2",5.0
2025-01-02,0,1031.0,1.0,0,25.0,"0,3",14.0,47.0,27.0,69.0,5.0,"0,8",246.0,"11,4",90.0,"1,1",3.0
2025-01-02,1,1031.0,1.0,0,15.0,"0,3",6.0,40.0,17.0,49.0,2.0,"0,9",219.0,"10,9",91.0,"1,2",1.0
2025-01-02,2,1030.0,1.0,0,12.0,"0,2",6.0,32.0,13.0,41.0,3.0,"1,1",216.0,"10,1",93.0,"1,5",1.0
2025-01-02,3,1030.0,1.0,0,10.0,"0,2",3.0,15.0,11.0,19.0,14.0,"1,6",243.0,"9,8",93.0,"2,4",1.0
2025-01-02,4,1030.0,1.0,0,5.0,"0,1",5.0,10.0,7.0,17.0,23.0,"1,7",231.0,"9,4",87.0,"2,6",1.0
2025-01-02,5,1030.0,1.0,0,4.0,"0,1",2.0,8.0,6.0,12.0,24.0,"2,4",240.0,"8,9",85.0,"3,7",1.0
2025-01-02,6,1030.0,1.0,0,3.0,"0,1",4.0,14.0,5.0,20.0,24.0,"2,2",239.0,"8,8",81.0,"3,3",1.0
2025-01-02,7,1030.0,1.0,0,4.0,"0,1",23.0,36.0,8.0,71.0,8.0,"1,9",212.0,"8,1",81.0,"2,6",1.0
2025-01-02,8,1030.0,12.0,0,6.0,"0,1",45.0,42.0,16.0,111.0,4.0,"1,8",210.0,"7,8",86.0,"2,4",1.0
2025-01-02,9,1030.0,120.0,0,9.0,"0,2",59.0,43.0,29.0,134.0,5.0,"2,2",209.0,"8,4",85.0,3,2.0
2025-01-02,10,1031.0,266.0,0,8.0,"0,1",30.0,33.0,18.0,78.0,15.0,"2,4",217.0,10,77.0,"3,4",1.0
2025-01-02,11,1031.0,397.0,0,7.0,"0,1",27.0,28.0,20.0,69.0,19.0,"2,6",212.0,"11,9",73.0,"3,7",1.0
2025-01-02,12,1030.0,468.0,0,4.0,"0,1",13.0,19.0,15.0,38.0,31.0,"2,9",202.0,14,62.0,4,1.0
2025-01-02,13,1028.0,468.0,0,4.0,"0,1",13.0,19.0,13.0,39.0,37.0,"3,1",201.0,"15,4",56.0,"4,9",1.0
2025-01-02,14,1027.0,420.0,0,3.0,"0,1",8.0,13.0,11.0,26.0,44.0,"3,9",205.0,"15,9",54.0,6,1.0
2025-01-02,15,1026.0,313.0,0,3.0,"0,1",10.0,16.0,12.0,31.0,43.0,"3,8",201.0,"16,3",54.0,"5,6",1.0
2025-01-02,16,1026.0,143.0,0,4.0,"0,1",10.0,21.0,19.0,35.0,40.0,"3,8",202.0,"16,2",53.0,"5,9",1.0
2025-01-02,17,1026.0,22.0,0,5.0,"0,1",11.0,29.0,22.0,46.0,32.0,"3,3",201.0,"15,1",55.0,"4,8",1.0
2025-01-02,18,1026.0,1.0,0,8.0,"0,2",75.0,60.0,34.0,175.0,13.0,"2,4",195.0,"13,8",60.0,"3,4",2.0
2025-01-02,19,1027.0,1.0,0,10.0,"0,1",107.0,70.0,25.0,234.0,9.0,"2,9",196.0,"13,3",60.0,"3,9",4.0
2025-01-02,20,1027.0,1.0,0,11.0,"0,2",112.0,75.0,34.0,246.0,5.0,"1,7",212.0,12,65.0,"2,3",4.0
2025-01-02,21,1027.0,1.0,0,13.0,"0,3",90.0,71.0,33.0,209.0,4.0,"0,8",236.0,"11,6",66.0,"1,4",2.0
2025-01-02,22,1027.0,1.0,0,13.0,"0,3",42.0,61.0,34.0,125.0,4.0,"1,2",210.0,"10,8",68.0,"1,6",1.0
2025-01-02,23,1028.0,1.0,0,10.0,"0,2",9.0,53.0,23.0,67.0,5.0,"1,5",197.0,"10,5",68.0,"1,9",1.0
2025-01-03,0,1027.0,1.0,0,10.0,"0,1",3.0,35.0,22.0,40.0,13.0,"1,6",199.0,"9,7",69.0,2,1.0
2025-01-03,1,1027.0,1.0,0,7.0,"0,1",2.0,22.0,15.0,25.0,25.0,"1,8",209.0,"9,3",67.0,"2,3",1.0
2025-01-03,2,1026.0,1.0,0,6.0,"0,1",3.0,21.0,13.0,25.0,27.0,"1,9",187.0,9,68.0,"2,5",1.0
2025-01-03,3,1026.0,1.0,0,4.0,"0,1",2.0,10.0,9.0,13.0,37.0,"1,9",206.0,"9,1",65.0,"2,6",1.0
2025-01-03,4,1026.0,1.0,0,4.0,"0,1",3.0,17.0,8.0,21.0,34.0,"1,9",204.0,"9,1",64.0,"2,4",1.0
2025-01-03,5,1025.0,1.0,0,4.0,"0,1",3.0,20.0,9.0,25.0,34.0,"1,8",199.0,"9,4",62.0,"2,5",1.0
2025-01-03,6,1025.0,1.0,0,5.0,"0,1",4.0,30.0,13.0,36.0,25.0,2,211.0,"8,8",65.0,"2,6",1.0
2025-01-03,7,1025.0,1.0,0,7.0,"0,1",16.0,48.0,25.0,72.0,12.0,2,206.0,"8,7",67.0,"2,7",1.0
2025-01-03,8,1025.0,12.0,0,9.0,"0,1",21.0,49.0,39.0,82.0,10.0,"2,9",210.0,"9,1",66.0,4,1.0
