Zona,Lat,Lon,KEY
"PINTOR SOROLLA, Nº 1 (de Poeta Querol a Universidad)",39.4708559,-0.3739551,1
"JÁTIVA, Nº 14 (de Marqués de Sotelo a Arzobispo Mayoral)",39.4676453,-0.3784605,2
"GUILLEM DE CASTRO, Nº 2 (de Pl.San Agustín a Jesús)",39.468603,-0.3801803,3
"JESÚS, Nº 1 (de Guillem de Castro a G.V. Ramón y Cajal)",39.468506,-0.3812876,4
"SAN VICENTE MARTIR, Nº 87 (de Matemático Marzal a Pl. San Agustín)",39.4670063,-0.3804197,5
"MARQUÉS DE SOTELO, Nº 13 (de Játiva a Pl. Ayuntamiento)",39.4677794,-0.3766562,6
"MARQUÉS DE SOTELO, Nº 4 (de Pl. Ayuntamiento a S. Pablo)",39.4688897,-0.3772263,7
"PASCUAL Y GENÍS, Nº 17 (de Lauria a Colón)",39.4689819,-0.3736952000000001,8
"LAURIA, Nº 18 (de Pascual y Genís a Colón)",39.46906392509983,-0.3734927731527503,9
"SAGASTA, Nº 1 (de Pérez Bayer a Pascual y Genís)",39.4698919,-0.3736768,10
"PASCUAL Y GENÍS, Nº 2 (de Barcas a Correos)",39.4703182,-0.374068,11
"POETA QUEROL, Nº 8 (de Salvá a Pintor Sorolla)",39.4716683,-0.3745156,12
"BARCAS, Nº 5 (de Pl. Ayuntamiento a Poeta Querol)",39.4704893,-0.3752113,13
"PERIODISTA AZZATI, Nº 2 (de San Vicente Mártir a Pl. Ayuntamiento)",39.4697186,-0.3781528,14
"SAN VICENTE MARTIR, Nº 62 (de Periodista Azzati a Sangre)",39.4700557,-0.3786812,15
PADILLA nº 5 (de Av. del Oeste a S. Vicente Mártir),39.4699026,-0.3792018,16
"SAN VICENTE MARTIR, Nº 69 (de Pl. San Agustín a Periodista Azzati)",39.4689605,-0.3790928000000001,17
"QUEVEDO, Nº 20 (de Huesca a Guillem de Castro)",39.46920360000001,-0.3809463,18
AV. DEL OESTE nº 28 (de Linterna a Garrigues),39.4717718,-0.3800772,19
AV. DEL OESTE nº 47 (de Grabador Selma a Pl. S. Agustín),39.4694434,-0.3794177,20
"GUILLEM DE CASTRO, Nº 33 (de Jesús a Ángel Guimerá)",39.4689445,-0.3819187000000001,21
"JÁTIVA, Nº 15 (de Ruzafa a Marqués de Sotelo)",39.4675948,-0.376528,22
"COLÓN, Nº 9 (de Pascual y Genís a Játiva)",39.467926,-0.3741094,23
"COLÓN, Nº 13 (de Pizarro a Pascual y Genís)",39.4684368,-0.3734561,24
"COLÓN, Nº 31 (de Isabel la Católica a Lauria)",39.4696018,-0.3715223,25
"COLÓN, Nº 43 (de Conde Salvatierra a Sorní)",39.471236,-0.3696235,26
"SORNÍ, Nº 30 (de Pl. América a Grabador Esteve)",39.4701559,-0.3667711,27
"NAVARRO REVERTER, Nº 17 (de Porta de la Mar a Pl. América)",39.4711156,-0.3659595,28
PTE. DE LAS FLORES (de Pl. de América a Alameda),39.4738338,-0.3756348,29
"GRAL. PALANCA, Nº 2 (de Pl. Tetuán a Pl. Porta de la Mar)",39.47326899999999,-0.3691241,30
"PL. ALFONSO EL MAGNÁNIMO, Nº 5 (De Pintor Sorolla a Cerdán de Tallada)",39.4719657,-0.3700432,31
"PINTOR LÓPEZ, Nº 8 (de Pte. De laTrinidad a Poeta Llorente)",39.4780827,-0.3730954,32
"CONDE SALVATIERRA, Nº 10 (de Sorní a Colón)",39.47047,-0.36883,33
"PL. DE TETUAN, Nº 8 (de Pl. de Tetuán a Glorieta )",39.4752948,-0.3699566,35
PTE. DEL REAL (de Pl. Tetuán a Llano Del Real),39.476479,-0.3686098,36
PTE. TRINIDAD (de Pintor López a Alboraya),39.4790612,-0.372656,37
"CONDE TRENOR, Nº 4 (de Muro de Santa Ana a Pte. Trinidad)",39.4786398,-0.3742297,38
"SORNÍ, Nº 7 (de Conde Salvatierra a Colón)",39.4704328,-0.3688956,39
"PINTOR LÓPEZ, S/N (de Plaza Poeta Llorente a Pte. del Real)",39.4770956,-0.3712422,40
"PL. AMÉRICA, Nº 1 (de Ciudadela a G.V. Marqués del Turia)",39.4696214,-0.3649102,41
"BURRIANA, Nº 32 (de Císcar a Joaquín Costa)",39.4654768,-0.3655506000000001,42
"RUZAFA, Nº 20 (de G.V. Marqués del Turia a Cirilo Amorós)",39.4655593,-0.3735532,43
"FELIX PIZCUETA, Nº 23 (de Cirilo Amorós a G.V. Marqués del Turia)",39.4663852,-0.3725524,44
"G.V. MARQUÉS DEL TURIA, Nº 17 (de Félix Pizcueta a Ruzafa)",39.4657556,-0.3726114,45
"G.V. MARQUÉS DEL TURIA, Nº 27 (de Pizarro a Félix Pizcueta)",39.4661564,-0.3716513,46
"AV. REINO DE VALENCIA, Nº 6 (de G.V. Germanias a Pintor Salvador Abril)",39.46460039999999,-0.3729791,47
"RUZAFA, Nº 51 (de Denia a G.V. Marqués del Turia)",39.46382029999999,-0.3724984,48
"AV. REINO DE VALENCIA, Nº 7 (de Gregorio Mayans a G.V. Marqués del Turia)",39.464882,-0.3721688,49
"GREGORIO MAYANS, Nº 1 (de G.V. Marqués del Turia a Reino de Valencia)",39.465351,-0.3717751,50
"G.V. MARQUÉS DEL TURIA, Nº 12 (de Gregorio Mayans a Taquígrafo Martí)",39.4655035,-0.3717052,51
"HERNÁN CORTÉS, Nº 27 (de Cirilo Amorós a G.V. Marqués del Turia)",39.4672012,-0.3705848,52
"G.V. MARQUÉS DEL TURIA, Nº 41 (de Isabel La Católica a Hernán Cortés)",39.46682149999999,-0.3700409,53
"G.V. MARQUÉS DEL TURIA, Nº 46 (de Almirante Cadarso a Joaquín Costa)",39.4668058,-0.3687121,54
"ALMIRANTE CADARSO, Nº 9 (de Conde Altea a G.V. Marqués del Turia)",39.4662095,-0.3684379,55
"G.V. MARQUÉS DEL TURIA, Nº 61 (de Conde Salvatierra a Jorge Juan)",39.4679832,-0.3674595,56
"G.V. MARQUÉS DEL TURIA, Nº 58 (de Joaquín Costa a Císcar)",39.46718810000001,-0.367498,57
"CÍSCAR, Nº 11 (de Conde Altea a G.V. Marqués del Turia)",39.4671486,-0.3662279,58
"G.V. MARQUÉS DEL TURIA, Nº 78 (de Salamanca a Jacinto Benavente)",39.4682004,-0.3650895,59
"G.V. GERMANíAS, Nº 15 (de Cádiz a Ruzafa)",39.4641588,-0.3747168,60
PTE. DE ARAGÓN (de G.V. Marqués del Turia a Pl. Zaragoza),39.4689075,-0.3626537,61
"AV. REINO DE VALENCIA, N º 23 (de Martí a Gregorio Mayans)",39.4636489,-0.367143,62
"G.V. GERMANíAS, Nº 49 (de Cuba a Sueca)",39.4630327,-0.3775489,63
"GIBRALTAR, Nº 1 (de G.V. Germanías a Filipinas)",39.4626929,-0.3780134,65
"G.V. GERMANíAS, Nº 20 (de Ruzafa a Alicante y a Pza. España)",39.464239,-0.37605,66
"BURRIANA, Nº 3 (de Maestro Gozalbo a Av. Reino de Valencia)",39.46430549999999,-0.3690611,67
"PEDRO III EL GRANDE, Nº 19 (de Luis Santangel a Av. Reino de Valencia)",39.4633191,-0.3676452,68
"REINA Dª GERMANA, Nº 13 (de Joaquín Costa a Ciscar)",39.4643365,-0.3656227,69
"AV. REINO DE VALENCIA, Nº 68 (de Joaquín Costa a Reina Doña Germana)",39.4630126,-0.365371,70
"JOAQUÍN COSTA, Nº 54 (de Reina Doña Germana a Av. Reino de Valencia)",39.4637089,-0.365651,71
"CÍSCAR, Nº 46 (de Reina Doña Germana a Burriana)",39.4646789,-0.365009,72
"MATIAS PERELLÓ, Nº 58 (de Alejandro VI a Duque de Calabria)",39.462459,-0.3650959,73
"AV. REINO DE VALENCIA, Nº 74 (de Matías Perelló a Av. Peris y Valero)",39.4626814,-0.3642959,74
"JACINTO BENAVENTE, Nº 24 (de Reina Doña Germana a Mestre Racional)",39.4649169,-0.3620377,76
"JACINTO BENAVENTE, Nº 26 (de Mestre Racional a Av. Peris y Valero)",39.4644221,-0.361807,77
"JACINTO BENAVENTE, Nº 28 (de Pte. Ángel Custodio a Mestre Racional)",39.4636504,-0.3614128,78
"JACINTO BENAVENTE, Nº 12 (de Burriana a Pt. Aragón)",39.4669643,-0.3632739,79
PTE. ANGEL CUSTODIO (de Av. Peris y Valero a Alameda),39.4634362,-0.3599222,80
"ALCALDE REIG, Nº 7 (de Prof. López Piñero a Pte. Reino de Valencia)",39.46144779999999,-0.3604396,81
"ALCALDE REIG, Nº 6 (de Luis Oliag a Pedro Aleixandre)",39.4615844,-0.3604299,82
"PEDRO ALEIXANDRE, Nº 14 (de Luis Oliag a Peris y Valero)",39.4608187,-0.3639926,83
"AV. PERIS Y VALERO, Nº 168 (De Alejandro VI a Escultor José Capúz)",39.4616553,-0.3644171,84
"ESCULTOR JOSÉ CAPUZ, Nº 35 (de Pedro Aleixandre a Godofredo Ros)",39.4593411,-0.3609134,85
"AV. REINO DE VALENCIA, Nº 87 (de Alcalde Reig a Av. Peris y Valero)",39.4624737,-0.361175,86
"AV. REINO DE VALENCIA, Nº 98 (de Av. Peris y Valero a Alcalde Reig)",39.4620506,-0.3613622,87
PTE. REINO VALENCIA (De Alameda a Alcalde Reig),39.4618716,-0.3590014,88
"AV. AUSIAS MARCH, Nº 15 (de Rubén Vela a Pl. Manuel Sanchis Guarner)",39.4556709,-0.3744593,89
DR.WAKSMAN FRENTE Nº22 (DE FUENTE LA HIGUERA A RUBÉN VELA),39.4559041,-0.371383,90
"FILIPINAS, Nº 27 (de Literato Azorín a Centelles)",39.4588008,-0.3767297,91
"CENTELLES, Nº 51 (de Cuba a Filipinas)",39.4582594,-0.3749561,92
"AV. PERIS Y VALERO, Nº 48 (de Rubén Vela a Fuente la Higuera)",39.457618,-0.3737192,93
"CADIZ, Nº 68 (de Literato Azorín a Centelles)",39.4605725,-0.372886,94
"CADIZ, Nº 73 (de Centelles a Av. Peris y Valero)",39.4595091,-0.371745,95
"CENTELLES, Nº 13 (de Cabo Jubi a Cádiz)",39.45980060000001,-0.3710818,96
"AV. PERIS Y VALERO, Nº 80 (de Cª Fuente San Luis a Zapadores)",39.4587504,-0.3710371,97
"ZAPADORES, Nº 14 (de Luis Oliag a Av. Peris y Valero)",39.4586664,-0.3688806,98
"MAESTRO AGUILAR, Nº 30 (de Av. Peris y Valero a Centelles)",39.4598226,-0.3695488,99
"MATIAS PERELLÓ, Nº 6 (de Pintor Salvador Abril a Maestro Aguilar)",39.4607625,-0.3692077,100
"AV. PERIS Y VALERO, Nº 138 (de Zapadores a Obispo Jaime Pérez)",39.46020619999999,-0.3672407,101
